rating,date,content
5,2018년 8월 15일,서울 처음 방문하면 먼저가는 곳
5,2018년 8월 14일,서울 최고의 경복궁
3,2018년 8월 12일,이제는 외국인 관광객들의 성지. (화요일 쉼)
5,2018년 8월 10일,야간개장때 가면
5,2018년 8월 9일,교육적  가족 여행
4,2018년 8월 8일,고전의 향수를 만끽할 수 있는 곳
4,2018년 8월 4일,대한민국 궁이다
5,2018년 7월 28일,경복궁 야간 관람
5,2018년 7월 18일,조선의 궁전
5,2018년 7월 18일,잘 보존된 곳
5,2018년 7월 16일,아름다운 경복궁
5,2018년 7월 10일,야간 투어
5,2018년 7월 1일,서울 경복궁
4,2018년 6월 21일,예쁜 한복 빌려 입고 사진 찍기 좋아요
5,2018년 6월 12일,주말엔 사람들 많네요
3,2018년 6월 2일,잠깐 지나가는길에 들렀다
5,2018년 5월 29일,야경이 이쁩니다.
4,2018년 5월 18일,매력적인 조선의 궁궐 그리고 야경
5,2018년 5월 11일,매력적인 서울의 정궁
4,2018년 5월 8일,아름다운곳
5,2018년 4월 24일,거의 매년 가는듯
5,2018년 4월 23일,한적하게 산책만 해도 좋은 곳
5,2018년 4월 18일,바쁜 서울속에서 여유 찾기
5,2018년 4월 16일,봄날에 산책하기 좋습니다.
5,2018년 4월 5일,경회루 특별관림
4,2018년 3월 15일,기대를 안하고 갔었는데 좋아요
5,2018년 3월 9일,외국인 친구가 너무 좋아했어요
5,2018년 3월 1일,멋진곳
5,2018년 2월 23일,서울투어
5,2018년 2월 21일,아름다운 곳
5,2018년 2월 14일,생각보다 넓고 볼거리가 많음.
5,2018년 2월 7일,이제야 방문한 부끄러움...
5,2018년 1월 29일,낮과 밤. 반드시 가야하는 곳
5,2018년 1월 25일,야간개장 때 꼭 가봐야 할 곳
5,2018년 1월 25일,역시 꼭 가봐야할곳
5,2018년 1월 23일,말이 필요없는곳
5,2018년 1월 23일,한복을 입고 경복궁에 들렀었는데
5,2018년 1월 22일,여름과 겨울 둘 다 왔지만 역시 좋습니다
5,2018년 1월 15일,조용하게 둘러보기 좋은곳
5,2018년 1월 6일,이미 외국인에게 한복입장은 상식
5,2017년 12월 29일,날씨좋을 때 가면 정말 좋아요
4,2017년 12월 21일,어느계절이든 이것이라면
5,2017년 12월 13일,필수 관광 코스
5,2017년 12월 11일,언제가도 아름다운
5,2017년 12월 10일,혼자가기 좋음
5,2017년 12월 11일,서울의 랜드마크
4,2017년 12월 7일,야간 개장도 좋습니다.
4,2017년 12월 8일,경회루 투어
5,2017년 12월 6일,외국인이며 한국인이며 다 방문하면 좋아할 명소
5,2017년 12월 5일,야간개장시 방문
5,2017년 12월 5일,서울의 심장
5,2017년 12월 4일,정말 이뻐요
5,2017년 12월 4일,경복궁  두말하면 입아플정도로 아름 다운 곳이죠!!
5,2017년 12월 4일,굿
4,2017년 12월 5일,날 선선한날에 경복궁 데이트
3,2017년 12월 5일,서울야경
3,2017년 12월 2일,야간개장 시 방문
5,2017년 12월 4일,야간개장 할때 꼭 예매해서 가보세요
5,2017년 11월 30일,야간개장도 좋아요
4,2017년 11월 29일,단아한 한국의 미
5,2017년 11월 29일,한국에 왔으면 반드시 가야하는 곳
5,2017년 11월 29일,서울 중심에 있고 가볍게 갈 수 있는 곳
4,2017년 11월 29일,갈때마다 감동을 받음
5,2017년 11월 30일,좋아요
5,2017년 11월 30일,좋아요~
4,2017년 11월 30일,아름다운궁
5,2017년 11월 30일,아름다워요
3,2017년 11월 28일,서울의 명소
4,2017년 11월 28일,마음을 안정시켜주는 궁
5,2017년 11월 27일,야간입장은 정말 좋아요!
5,2017년 11월 27일,만 25세 미만은 무료
5,2017년 11월 26일,경회루가 멋진 경복궁
5,2017년 11월 26일,아무때나 가도 정말 좋아요
5,2017년 11월 24일,한국의 미를 가장 잘 보여주는 곳
5,2017년 11월 23일,경복궁 너무 좋아요
5,2017년 11월 23일,당연좋습니다
4,2017년 11월 23일,조선의 정궁
5,2017년 11월 22일,관광
5,2017년 11월 22일,한국의 전통을 느껴보아요
5,2017년 11월 21일,5대 궁궐 중 하나인 경복궁
5,2017년 11월 21일,야간개장 좋았어요.
5,2017년 11월 21일,야간 개장시 짱
5,2017년 11월 20일,정말 좋아요 !!!
4,2017년 11월 21일,서울의 대표명소
4,2017년 11월 21일,무료로 가고 싶으면 한복 입으시라능
5,2017년 11월 18일,야간개장 꼭 강추합니다
4,2017년 11월 17일,가족과 함께하기 좋은 곳
4,2017년 11월 17일,한복입고 가면 공짜
5,2017년 11월 17일,한복을 입고 가면 무료입니다
5,2017년 11월 17일,아름답고 아름답습니다.
5,2017년 11월 17일,광화문
4,2017년 11월 15일,경북궁 야간 개장
5,2017년 11월 15일,아름다운 궁궐
5,2017년 11월 17일,자랑스러운 경복궁
4,2017년 11월 15일,경복궁은 꼭 가봐야지
5,2017년 11월 15일,관광
5,2017년 11월 14일,외국인들이 좋아한다.
5,2017년 11월 14일,초가을의 경복궁
4,2017년 11월 13일,경복궁 이어서 통인시장으로
5,2017년 11월 13일,서울 여행에서 빠질 수 없는 코스
5,2017년 11월 13일,야경이 아름다웠던 경복궁
4,2017년 11월 13일,야간개장 때 방문
5,2017년 11월 13일,아름다운 경복궁
5,2017년 11월 11일,언제가도 늘 멋진 공간
5,2017년 11월 9일,외극 친구와 방문
5,2017년 11월 8일,야간행사
3,2017년 11월 7일,한국에 오면 꼭 방문해야 할 곳
5,2017년 10월 24일,야간개장을 노려보세요!
5,2017년 10월 18일,경복궁
4,2017년 10월 13일,야간개장때 가면 예뻐요.
5,2017년 10월 12일,야간개장 할 때 꼭 가세요
5,2017년 10월 16일,연휴때 방문
5,2017년 10월 11일,외국 손님에게 인상깊은 추억을 선사
5,2017년 10월 13일,야간개장일때 최고인 장소...
5,2017년 10월 9일,너무나 아름다운 정원과 궁궐
4,2017년 10월 8일,경북궁 야간에 가면 더 특별한 경험을 할수 있는곳~~
5,2017년 10월 7일,경복궁 경회루~
5,2017년 10월 7일,멋짐
5,2017년 10월 10일,야간개장할때 갔었는데 너무 좋았어요
5,2017년 10월 9일,첨 갔는데 너무 좋았어요
5,2017년 10월 6일,훌륭합니다
4,2017년 10월 1일,언제 가도 마음이 편안한 곳
5,2017년 9월 29일,경복궁 야간개장
5,2017년 9월 29일,아름다운 경복궁
5,2017년 9월 26일,야간개장 너무 예뻐요
4,2017년 9월 26일,야간개장에 갔습니다.
3,2017년 9월 26일,그냥저냥 볼만함
4,2017년 9월 21일,아이들과 같이 나들이 가기 좋은 곳
5,2017년 9월 18일,서울 오면 꼭 들러야 하는 곳. 한국의 혼.
5,2017년 9월 15일,외국인 관광객에게 꼭 추천하고싶은곳
5,2017년 9월 6일,고즈넉한 고궁
3,2017년 8월 31일,야간에 분위기 참 좋았습니다
5,2017년 8월 31일,서울의 자랑
4,2017년 8월 27일,청와대 앞길도 개방돼서 더 좋아요
5,2017년 8월 26일,좋습니다
5,2017년 8월 24일,경복궁
4,2017년 8월 23일,꼭 가보세요
4,2017년 8월 11일,한국의 대표적인 궁궐
5,2017년 8월 9일,경복궁 근처 식당 강추
5,2017년 8월 8일,늘 예쁘고 기분 좋은 궁
3,2017년 8월 6일,저는 감동
5,2017년 8월 6일,아름다운 오후
4,2017년 8월 6일,거대한
5,2017년 8월 6일,최고의 궁전!
4,2017년 8월 6일,역사의 많은 아름다운 궁전
5,2017년 8월 5일,아름다운 궁전
5,2017년 8월 5일,"야간 개장, 콘서트"
5,2017년 8월 4일,저녁에 다시 viewings
