date,rating,review
1년 전,별표 5개,조선 태조 이성계에 의해 세워진 조선의 정궁 대표적인 곳 근정전 정치 정무 및 왕과 왕비 세자의 거처가 있고 수랏상 만드는 소주방이 있다. 그렇기에 전각들이 창덕궁 창경궁 덕수궁보다 많을 수 밖에 없다. 입장료는 3000원 한복을 입고 오면 무료로 입장할 수 있다 노인과 장애인도 신분증 제시면 무료 관람권 티켓으로 입장 내국인보단 확실히 외국인 관광객들이 훨씬많다.
10개월 전,별표 5개,"도시 한가운데 있는 경복궁과 뒤로 보이는 산의 풍경이 언제 봐도 멋집니다. 역사적인 건물과 자연 경치가 잘 어우러져서 사진 찍기에도 좋고, 산책하기에도 편안한 곳이에요."
9개월 전,별표 5개,경복궁은 태조 이성계가 조선을 건국하고 한양으로 천도를 하며 지은 궁궐이다. 궁궐이 매우 넓어서 사진찍기도 좋고 산책하기도 좋다.  -근정전  국가 의식을 거행하고 외국 사신을 맞이 하던 곳. -사정전  왕의 집무공간 -강녕전  왕의 휴식공간 -건청궁  명성황후가 시해된 곳 -집옥재  고종의 서재 -경회루  연회를 하거나 외국의 사신들을 접견하던 곳
8개월 전,별표 5개," 경복궁   경복 의 이름은  새 왕조가 큰 복을 누려 번영할 것 이라는 의미가 담겨있으며, 이곳에서 훈민정음이 창제되어 반포되기도 하였다.  경복궁은 1592년 임진왜란으로 소실되었는데, 1867년에 다시 지어졌다고 한다. 이후 1990년대부터 본격적으로 경복궁 복원공사가 진행되었고, 지금까지도 꾸준히 보수공사가 진행되고 있다.  그리고, 1995년부터 1997년까지 조선총독부 청사를 철거하였다. 몸쓸놈들, 속 시원하다~~"
9개월 전,별표 5개,경북궁은 산책하기에도 좋고 여행이나 나들이 사진찍으러 가기에도 참 좋은거같에요 ~ 날씨가 안좋아도 가기 참 좋은거같네요 다들 시간있으실때 한번 들려보아요
1년 전,별표 5개,우리나라 대표적인 관광지이고 외국인이 굉장히 많이 오십니다 입장료3000원이구요 한복을 입으신분은 무료라고 하네요 근정전 궁이 웅장하고 섬세하게 잘 보존이 되어있어요 경회루와 향원정등 너무 아름다운 우리 문화유산을 볼 수 있어요 옆에는 국립고궁 박물관도 있으니 꼭 같이 둘러보세요
1년 전,별표 5개,도심에서 산책하기 좋은 고궁입니다. 너무나 편안한 분위기에 가을 단풍까지 잘 어울리네요. 한복 착용 등 무료입장도 가능해요.
10개월 전,별표 5개,2025 경복궁 야간개장에 다녀왔어요. 저녁 7시부터 밤9시반까지 웅장하면서 고즈넉한 경복궁을 즐길수 있습니다. 한복 착용시 입장료 무료로 외국인들도 많고 사람들이 많았습니다. 서울 야경 명소 특히 경회루는 연못 위 한폭의 그림을 연상케 합니다. 멋진 사진 남길수 있는 곳으로 분위기 자체로도 힐링 되는 경복궁!!
1년 전,별표 3개,"조선의 첫 궁궐이자 서울의 대표 명소 경복궁은 사계절마다 특별한 매력을 전합니다. 1395년 태조 이성계가 건립한 이 궁궐은 북악산을 배경으로 웅장한 근정전과 아름다운 경회루가 어우러진 곳입니다. 한복을 입으면 무료 입장도 가능해 사진 명소로 인기가 많습니다. 봄의 벚꽃, 가을 단풍, 겨울의 눈 풍경까지 자연과 조화로운 광경을 즐길 수 있어요.  수백 년간 화재와 임진왜란, 일제강점기를 겪으며 꾸준히 복원된 덕분에 전통 한옥 건축미와 자연이 잘 어울립니다. 근정전, 사정전, 강녕전 등 주요 전각과 경회루 주변이 방문객에게 특히 사랑받는 곳입니다.  경복궁 근처에는 국립고궁박물관과 국립민속박물관이 있어 역사 공부와 관광을 함께 할 수 있습니다. 광화문광장, 인사동과 연결된 산책 코스로도 좋아 평일 오전에 한적하게 방문하기에 안성맞춤입니다. 경복궁은 서울 여행 필수 코스이며 한국 전통과 현대가 어우러진 특별한 공간입니다.  경복궁과 광화문은 조선의 시작과수많은 격변을 고스란히 품은 서울의 대표 관광명소예요. 1395년 창건된 경복궁은 임진왜란, 일제강점기를 거쳐 꾸준히 복원됐고, 궁궐의 정문인 광화문은 역사적 의미와 현대적 감각이 어우러진 공간이죠. 웅장한 궁궐 건축과 수문장 교대식, 한복 체험, 사계절마다 달라지는 자연풍경에 누구나 감탄해요. 광화문광장은 시민들에게 열린 쉼터, 서울의 필수 포토 스팟이기도 해요.  경복궁 역사적 사실 1395년 태조 이성계가 한성(서울) 천도와 함께 첫 법궁(정궁)으로 창건했어요.  1592년 임진왜란 때 크게 소실되어 한동안 창덕궁이 주궁 역할을 했어요.  1867년 고종 때 흥선대원군 주도로 대대적으로 중건되어 웅장한 모습 되찾았죠.  일제강점기~해방 후엔 많은 전각이 철거됐지만, 1990년대 이후 본격 복원 사업으로 원래 모습에 가까워지고 있어요.  북악산을 등지고 광화문 앞으로 육조거리가 펼쳐지는 도심 속  역사와 조경의 조화 를 느낄 수 있습니다.  광화문 역사적 사실 경복궁의 정문으로, 1426년(세종 8년) 공식 명칭이 붙여졌으며  광화 는 군주의 덕이 널리 퍼진다는 의미예요.  일제강점기 총독부 청사 건립과 한국전쟁, 여러 시대의 변화 속에서 해체 복원을 반복했어요.  2010년 고증을 거쳐 원래의 자리에 목재구조로 복원되면서, 서울의 역사적 상징이자 소통의 공간으로 재탄생했죠.  인기 후기   인상적인 포인트  경복궁은 한국의 아름다움과 역사가 공존하는 곳. 전통 의상을 입고 사진을 찍으면 마치 조선시대에 와있는 듯해요. 경회루 연못 경치는 정말 사진 찍기 좋아서 인생샷 건질 수 있었어요!    수문장 교대식은 아이와 가족 모두에게 인기 많은 퍼포먼스. 박진감 넘치고 한국문화를 체험할 수 있는 특별한 경험이에요.    광화문광장은 시민공원으로 자리잡아 걷기, 산책, 휴식 모두 좋아요. 행사, 문화공연도 자주 열려서 방문 때마다 새로운 추억이 생겨요. 넓고 개선된 보행 환경에 만족하는 방문객이 많아요.    가을엔 단풍, 겨울엔 눈과 함께 경복궁, 광화문 풍경이 서울 포토존으로 환상적이에요. 해질 무렵 조명 아래 궁궐 풍경이 특히 인생 포인트!   경복궁, 광화문 방문 추천 포인트 한복 착용 시 경복궁 무료 입장 가능(포토 스팟 필수)  오전엔 한적한 궁궐 산책을, 수문장 교대식 이벤트 시간엔 전통문화를 직접 체험!  광화문광장 산책, 이순신 장군 동상과 분수, 벤치, 예술 조형물에 들러보세요.  인근에 국립고궁박물관, 국립민속박물관 등 볼거리도 많아요.  유구한 역사와 현대적인 활기가 만나는 경복궁과 광화문, 잊을 수 없는 감동을 직접 느껴보세요!"
1년 전,별표 5개,"경복궁은 서울에서 가장 웅장한 궁궐이라 한복을 입고 방문하면 더 특별한 느낌이 들어요. 친구들과 한복을 대여해서 사진을 찍으며 돌아다녔는데, 궁의 규모가 커서 한참을 걸어야 했어요. 근정전과 경회루는 정말 멋졌고, 궁궐 내부를 거닐며 조선 시대 분위기를 상상해 보는 것도 재미있었어요. 가끔 야간 개장도 하는데, 저녁에 조명이 켜진 궁궐은 낮과는 또 다른 매력이 있었어요."
