rating,date,review
5.0,2025.01.21.,Cool
5.0,2024.11.15.,"서울에서 제일 좋아하는 종로! 그 중에서도 왕실의 주요 궁궐인 경복궁. 11월 중순이지만 이상기후?로 유난히 날이 따뜻해서 외국인 관광객도 많고 평일임에도 사람들이 많더라구요. 높고 맑은 가을하늘과 흩날리는 낙엽들이 가을 정취를 물씬 풍깁니다. 사계절 어느 때 가도 아름답지만요. 

외국인 관광객들이 울타리쳐진 잔디밭을 막무가내로 들어가 사진찍고있는 걸 보면 마음이 참 아파요. 타국의 아름답고 뜻깊은 소중한 공간인만큼 충분한 배려와 관리가 필요하다는 생각이 듭니다. 간혹 쓰레기가 눈에 띄어 가지고 온 비닐봉지에 주우면서 다녔어요 … ㅋㅋㅋ  접기"
5.0,2024.10.07.,"쌀쌀해져서 한바퀴만 돌았는데  담요 갖고 다니세요^^
야간개장 보고왔습니다^^"
5.0,2024.10.05.,궁궐을 이 가격에 볼 수 있다는 게 해외여행 때 입장료랑 비교할 때마다 놀람. 야간개장도 강추
5.0,2024.08.24.,"다시가보고싶은 경복궁
더운 여름보단 시원한 봄가을에 다시가고싶어요"
5.0,2024.06.05.,볼거리도 많고 다양한 체험과 행사를 볼 수 있었어요 사람들이 한복을 입고 경복궁을 다니는 모습들이 옛 세상을 떠올리게 하는 경험이었어요 좋았어요
4.0,2024.04.11.,궁 좋다..
5.0,2024.03.19.,"Gyeongbokgung is way bigger and more beautiful than I had originally thought. There's so many cool looking structures, the walkways were well kept, and the trees and other nature were awesome too! I definitely wanna come back next year :)"
5.0,2024.02.22.,"너무 웅장하다.....
조선 총독부 부수길 잘한 것 같은 곳
다음에 또 오고 싶다"
5.0,2023.11.14.,"another mandatory and must-visit place in Korea, if u wearing hanbok you can entry gyeongbok palace for free :)"
5.0,2023.10.13.,"amazing place with an good show , this is a must have while visiting Seoul."
5.0,2023.09.25.,"너무너무 좋아요ㅠㅠ
너무 예쁘고 아름다워요.....
야간개장도 입장료 3천원이에요!"
4.0,2023.09.25.,"별빛야행 가격대는 좀 있으나 정말최고였음. 한번쯤은 꼭 다녀올만한곳. 음식도 매우좋고

23.9월 야간개장 왔음. 아주 볼거리가 많지 않으나 그래도 경회루와 근정전이 예쁘고 산책하기 좋음.
단 사람이 너무 많아 호젓한 분위기는 아님 접기"
5.0,2023.09.17.,"입장료 3,000원 / 65세이상 무료"
5.0,2023.09.04.,"경복궁에 갓더니 눈물이 낫어… 전생에 난 뭐엿을까?
2023. 09. 01."
5.0,2023.08.11.,"한국인이라면 외국인이라면 , 한국을 방문한 인간이라면 꼭 한번은 와봐야 하는 곳
역사 교육적인 장소로서도 최고"
